PLAYER_ID,GP,GS,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,STL,BLK,TOV,PF,PTS
201980,153,97,3565.0,394,962,310,777,44,56,93,352,194,164,99,132,262,1142
201988,337,53,7991.0,1202,2875,750,1938,329,382,90,516,764,210,39,316,459,3483
202066,251,125,6048.0,675,1695,338,1007,198,258,110,580,436,194,109,220,464,1886
202083,270,135,5899.0,595,1523,366,1038,220,275,126,440,316,152,59,163,443,1776
202322,225,194,7393.0,1603,3718,314,966,954,1267,127,686,1956,332,166,822,407,4474
202330,267,212,8240.0,1516,3191,385,1038,691,825,214,1153,1020,241,93,472,429,4108
202331,266,266,9097.0,2222,4989,869,2237,1224,1427,231,1583,1247,450,111,811,692,6537
202339,267,241,7474.0,1324,2912,374,1123,580,776,185,892,1260,301,100,553,487,3602
202397,217,3,3574.0,551,1288,70,195,51,85,77,407,760,134,66,241,251,1223
202681,203,203,7460.0,2026,4108,628,1609,813,893,186,806,1153,249,144,459,551,5493
202684,168,55,3080.0,451,860,2,9,193,352,409,606,135,70,75,152,315,1097
202685,315,294,8372.0,1977,3495,157,445,804,1010,971,2456,602,139,268,604,938,4915
202687,270,114,4540.0,587,1027,0,1,259,488,490,839,243,68,278,229,544,1433
202691,330,330,11025.0,2666,5780,1153,2793,559,657,171,1101,782,270,167,537,597,7044
202692,247,76,6449.0,1016,2455,474,1175,706,835,135,929,649,216,65,289,543,3212
202693,148,32,2208.0,301,722,134,390,64,79,91,362,158,46,30,110,234,800
202694,238,210,6827.0,1205,2728,495,1227,451,544,149,893,371,151,84,279,548,3356
202695,230,228,7618.0,2055,4152,451,1166,1255,1440,250,1308,973,380,115,479,375,5816
202696,295,295,9860.0,2475,5094,577,1558,486,591,593,2748,1039,260,224,527,634,6013
202699,336,336,11366.0,2366,4819,552,1422,831,970,312,1954,1035,263,198,525,720,6115
202704,278,198,7195.0,1268,3087,481,1370,347,401,113,638,1030,190,34,477,514,3364
202709,253,67,5719.0,728,1603,225,601,301,361,120,478,880,198,62,299,513,1982
202710,241,241,8134.0,1662,3368,134,485,1713,2012,459,1049,1414,446,108,472,338,5171
202711,344,344,10896.0,2198,4721,859,2125,1220,1410,206,1186,700,216,21,674,592,6475
202722,214,8,3569.0,460,1188,378,1029,185,210,52,403,132,78,45,81,359,1483
203076,250,248,8452.0,2294,4392,178,607,1468,1860,679,1952,798,332,541,544,591,6234
203078,289,289,10340.0,2819,5943,652,1879,1516,1795,292,1029,1596,342,151,885,694,7806
